FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,"Placer County, CA",US,2020-03-09T08:23:03,39.0916,-120.8039,7,1,0,,
,,,Belarus,2020-03-09T11:33:10,53.7098,27.9534,6,0,1,,
,,,Latvia,2020-03-09T09:13:18,56.8796,24.6032,6,0,0,,
,,,Pakistan,2020-03-08T04:53:02,30.3753,69.3451,6,0,1,,
,,"Fort Bend County, TX",US,2020-03-08T17:33:03,29.5693,-95.8143,6,0,0,,
,,"Harris County, TX",US,2020-03-09T09:13:19,29.7752,-95.3103,6,0,0,,
,,"Norfolk County, MA",US,2020-03-08T21:13:14,42.1767,-71.1449,6,0,0,,
,,,Dominican Republic,2020-03-08T17:23:08,18.7357,-70.1627,5,0,0,,
,,,French Guiana,2020-03-07T03:23:05,3.9339,-53.1258,5,0,0,,
,,,New Zealand,2020-03-07T02:03:29,-40.9006,174.886,5,0,0,,
,,"Fulton County, GA",US,2020-03-09T18:53:13,33.8034,-84.3963,5,0,0,,
,,"Montgomery County, PA",US,2020-03-09T18:33:03,40.229,-75.3879,5,0,0,,
,,"Unassigned Location, WA",US,2020-03-06T00:33:03,47.7511,-120.7401,5,0,0,,
,,,Afghanistan,2020-03-08T04:53:03,33,65,4,0,0,,
,,Western Australia,Australia,2020-03-09T18:33:03,-31.9505,115.8605,4,1,0,,
,,,Bulgaria,2020-03-09T14:43:03,42.7339,25.4858,4,0,0,,
,,,Maldives,2020-03-08T21:13:10,3.2028,73.2207,4,0,0,,
,,,Senegal,2020-03-08T20:23:08,14.4974,-14.4524,4,0,1,,
,,"Bergen County, NJ",US,2020-03-08T21:23:03,40.9263,-74.077,4,0,0,,
,,"Grafton County, NH",US,2020-03-08T17:53:03,43.9088,-71.826,4,0,0,,
,,"Kershaw County, SC",US,2020-03-09T00:03:07,34.3672,-80.5883,4,0,0,,
,,"Montgomery County, MD",US,2020-03-08T21:53:04,39.1547,-77.2405,4,0,0,,
,,"Orange County, CA",US,2020-03-09T00:23:10,33.7879,-117.8531,4,0,0,,
,,"Pierce County, WA",US,2020-03-08T21:43:03,47.0676,-122.1295,4,0,0,,
,,"Rockland County, NY",US,2020-03-09T17:33:13,41.1489,-73.983,4,0,0,,
,,,Bangladesh,2020-03-08T10:53:02,23.685,90.3563,3,0,0,,
